"idd","avgLL_T"
485,-10.1609573098938
486,-7.48288270266558
487,-9.93373284370806
488,-9.29889182515374
489,-13.0556960251841
490,-6.35364683355035
491,-12.4664080697428
492,-7.89975067837107
493,-13.0129921481507
494,-8.45121223367905
495,-12.7521173440602
496,-8.98084737784436
497,-8.07190856541937
498,-12.4259055702329
499,-11.7974128404499
500,-9.46794934444871
501,-13.1869532028909
502,-11.3908995215359
503,-8.49953211511037
504,-10.0700178358983
505,-14.4026423680432
506,-10.0272947544222
507,-9.25000855300216
508,-16.4048973378691
509,-10.6036312463807
510,-8.85471117977458
511,-11.9078225832359
512,-10.5076812928563
513,-7.8656973077323
514,-10.6668447795777
515,-11.2793064544376
516,-7.49191813331868
517,-13.7299107366503
518,-10.0299066198116
519,-8.67711503495407
520,-12.4371811685695
521,-7.07159227230734
522,-14.4479519625516
523,-11.2769078450308
524,-8.66744765777387
525,-11.1660572286979
526,-11.9112790864174
527,-7.86863031205993
528,-11.3119537507726
529,-9.83522837265129
530,-6.7865728076565
531,-5.0957713933374
532,-6.64439310265647
533,-11.2007505934132
534,-9.69795782766429
535,-10.8541841767163
536,-9.15988906986221
537,-11.3522896154309
538,-9.51907223365565
539,-8.20803331801738
540,-11.9729751188377
541,-10.5729294362076
542,-10.2199106178603
543,-9.72815020737858
544,-7.73939811004582
545,-7.31190557661193
546,-6.41650145662152
547,-12.3770562463681
548,-11.5561967882455
549,-8.16875694790001
550,-12.1895046339248
551,-13.4166873794985
552,-10.0422572114987
553,-13.5818984371062
554,-9.25032321321778
555,-9.71878789128339
556,-12.7115018814731
557,-11.7875420677277
558,-13.7609606500969
559,-9.43910246909474
560,-11.6169853538955
561,-7.75435814449824
562,-12.7998319845067
563,-5.79406484615462
564,-11.311545058804
565,-11.9651873683428
566,-16.9177225209416
567,-12.290347186499
568,-6.62118453239741
569,-11.3482559539852
570,-10.3494889481452
571,-12.7842372230814
572,-6.3760115406407
573,-8.47905706252474
574,-13.9797456756655
575,-11.4536593226889
576,-5.48235634203338
577,-14.1357913379672
578,-10.3962781363529
579,-9.80120070714883
580,-14.3968683144644
581,-8.68349921475821
582,-8.32379797064248
583,-13.3977534186224
584,-11.7824764448558
585,-7.98561478180992
586,-11.1605037076645
587,-8.77335976882362
588,-14.028157622764
589,-11.3786747450489
590,-13.7405986826218
591,-12.3105956536146
592,-8.65920056887365
593,-8.54842516863494
594,-11.1906487609912
595,-13.2480857039577
596,-14.4112512536521
597,-13.5771087487077
598,-14.4019675604388
599,-7.5318422900522
600,-14.6304544927595
601,-10.1811134062969
602,-12.6767435755408
603,-10.7838347754859
604,-9.11935760138079
605,-10.7334236060787
606,-9.84713887797809
607,-10.9942246892193
608,-10.5227458688009
609,-9.80891667925047
610,-8.48215279656653
611,-10.5940667149599
612,-6.08826377147258
613,-12.3697127165968
614,-8.95334644747967
615,-8.55633190145611
616,-6.37468172771094
617,-6.11517708403906
618,-10.7678901205089
619,-9.67734967841419
620,-10.1169198026652
621,-8.48230244311348
622,-8.57644646745586
623,-9.23483251136269
624,-13.1291882776375
625,-9.38113589390609
626,-9.95523549901915
627,-9.07333444111701
628,-8.22196746928544
629,-10.3998965080922
630,-11.5926789703762
631,-10.1010063072766
632,-13.5852892599783
633,-12.9603183896986
634,-5.02487480567831
635,-10.4197344311852
636,-8.38411795312151
637,-7.55743929360588
638,-12.9201938898341
639,-10.3893040951944
640,-11.4023726589267
641,-10.7784161257158
642,-9.14978741580494
643,-12.5644224965352
644,-10.5980154086132
645,-11.5849252256947
646,-8.91688842314263
647,-5.99167186582469
648,-10.8799493010574
649,-12.9138013282387
650,-13.794333318113
651,-8.16106442027525
652,-6.95724732291754
653,-14.472635493554
654,-10.5631972004972
655,-8.72466990435299
656,-8.81913571860629
657,-12.9322016994341
658,-12.5696975619125
659,-11.8048225070403
660,-11.5311163882459
661,-9.13654717164309
662,-10.3322753688697
663,-10.206659698799
664,-10.7866160792777
665,-8.758174815745
666,-6.56690431517331
667,-6.39465173101133
668,-7.72120193563089
669,-13.8532980485329
670,-5.59804274538024
671,-13.8618532204962
672,-11.0114981543044
673,-10.860478704057
674,-8.56830820294304
675,-10.5563479493106
676,-8.37297625043908
677,-10.6305317062743
678,-13.4724847466842
679,-5.92470763356196
680,-12.2358555086585
681,-12.954371136076
682,-7.28553353630175
683,-9.71474815238607
684,-11.1813483240339
685,-7.02068829045889
686,-11.4100317545209
687,-10.2472767038305
688,-13.3428714198891
689,-9.93579779700244
690,-7.95276005943284
691,-7.99387688958844
692,-12.1020766398206
693,-12.8436798482987
694,-10.145591115747
695,-8.28441564459668
696,-12.3472219887237
697,-11.8544801060572
698,-6.88515129746284
699,-11.852276596281
700,-12.1526803062219
701,-6.30423525766557
702,-11.4711323187943
703,-13.0224572525825
704,-8.6635103178486
705,-13.0602971274413
706,-9.9817892996806
707,-11.2660369249003
708,-11.7914339617243
709,-10.7260149211929
710,-11.3019207967281
711,-11.7247073019899
712,-13.5966504038997
713,-7.93868709488444
714,-11.1330475256448
715,-12.5923703220761
716,-8.86958035577369
717,-11.2035303920132
718,-10.2277008906182
719,-7.29593841967222
720,-10.8899574425873
721,-12.684751725242
722,-11.4102426499737
723,-9.25688229249901
724,-6.75528196754462
725,-10.9659190504868
726,-12.5613131487235
727,-7.34076897004304
728,-10.7389316225407
729,-10.7304539399182
730,-9.12844380015347
731,-9.54886733466682
732,-7.53848959375726
733,-8.95191243190173
734,-9.30886170896156
735,-14.0345225286792
736,-10.8303548903126
737,-8.76562383255687
738,-10.7664520823
739,-11.4955600277865
740,-13.6512811329623
741,-13.7076560076732
742,-10.7175442079768
743,-8.34067770045835
744,-12.4651046536221
745,-7.83611868847764
746,-14.3115797954331
747,-7.14265625930811
748,-13.4539286475724
749,-12.3707920305312
750,-11.2775650828325
751,-16.315299564473
752,-9.76222622053939
753,-12.0585745713043
754,-6.94359480008546
755,-8.76030227585334
756,-12.4330991937251
757,-15.8073562789019
758,-7.49191559498165
759,-11.7297334019682
760,-11.797880740925
761,-16.0953294723559
762,-9.64458637796537
763,-11.8789536846193
764,-12.0674313573839
765,-8.49152397201104
766,-10.0889665925213
767,-8.70254783443804
768,-10.7067442029053
769,-13.4284597387685
770,-9.00698478558534
771,-10.705044939107
772,-8.13836999301418
773,-12.2799729509026
774,-8.84593701669783
775,-10.2649904197162
776,-7.45131410405656
777,-15.1891084844922
778,-14.3971007654395
779,-7.71024141368493
780,-6.29113018693172
781,-11.6192386983513
782,-10.5202419162825
783,-9.81651689943769
784,-14.8060483388021
785,-6.35300748493946
786,-12.0739636876944
787,-10.2565329867602
788,-8.83309413413564
789,-9.81600620707475
790,-8.63879625665899
791,-9.40268780005039
792,-13.8472984725843
793,-7.74729643021338
794,-10.6660883772445
795,-10.0910965073788
796,-7.09285044781195
797,-8.17242353510159
798,-7.37837079033946
799,-15.340418052069
800,-7.58202005392314
801,-11.9342481174839
802,-12.8968676176812
803,-7.4434021348505
804,-13.9253667103168
805,-10.6659923478515
806,-12.0956108208253
807,-6.90966654775983
808,-10.4239392433657
809,-9.50742633158519
810,-5.53903265644211
811,-8.85073616799641
812,-13.1822692175278
813,-12.9407182300185
814,-9.85228013658207
815,-12.2565678586425
816,-8.41539912387914
817,-10.2171156405481
818,-11.1914208662938
819,-6.24977027668319
820,-11.6502493357946
821,-9.05264106198445
822,-11.856202255333
823,-11.6749244214977
824,-8.53182314773133
825,-10.5830020565351
826,-15.4700647416366
827,-8.80256926248857
828,-12.37432608166
829,-14.1402412364145
830,-10.3214492639227
831,-8.25508754753903
832,-7.72885505156739
833,-9.9074758481578
834,-9.51154095699628
835,-14.4014725058861
836,-12.3012953171921
837,-6.55225707301918
838,-13.1127492973924
839,-11.9027463786702
840,-11.9425324150064
841,-8.6829657990716
842,-9.30654131914121
843,-11.6299114379638
844,-9.8570604486785
845,-10.3674094548202
846,-10.3589305595224
847,-9.4835953127836
848,-7.40870006750743
849,-13.5656692639685
850,-8.13502561919493
851,-6.67560491590061
852,-10.7659845163507
853,-14.523040817464
854,-8.30694996688867
855,-9.26211133533144
856,-13.0037199331792
857,-8.40667296334271
858,-9.8077560961504
859,-11.7358192524327
860,-6.95075739280327
861,-12.2820410278383
862,-9.27703826151421
863,-13.7101972174692
864,-11.2273600063278
865,-12.9667859689694
866,-6.15376442479189
867,-8.51709652933846
868,-11.4743978261424
869,-13.5093120311305
870,-16.2842255377459
871,-10.7964678242181
872,-11.6517970456608
873,-11.2814495232944
874,-17.3720190666688
875,-7.77660722304533
876,-8.67821144620095
877,-7.11788976189917
878,-15.1899418482831
879,-7.34242466634385
880,-7.28771168704506
881,-8.326675278364
882,-14.3739479912251
883,-13.3196935975007
884,-9.25248493107731
885,-8.206698589151
886,-8.55147100186091
887,-12.4360085578132
888,-7.8121889896072
889,-12.2929893015154
890,-7.42995686244133
891,-5.60820382814343
892,-10.8034722481722
893,-11.7049935503187
894,-9.30083065696479
895,-7.32141464478533
896,-9.11817953214261
897,-10.4420650106521
898,-10.8245481668923
899,-10.3321096325512
900,-10.9625938838993
901,-7.80536333613198
902,-8.35755356310441
903,-6.08007576606663
904,-6.99915930484261
905,-11.7487558261174
906,-13.6155884208327
907,-11.2128963399206
908,-7.47498710212267
909,-13.2518188839872
910,-9.24943324095357
911,-7.33784688015573
912,-12.9214880910533
913,-7.99832132244156
914,-14.116918496234
915,-11.2521195021548
916,-10.6332379785862
917,-9.68332997817478
918,-13.590826007779
919,-10.8114651358436
920,-12.5852501152889
921,-7.46226197912905
922,-10.521591666432
923,-9.54800105787518
924,-6.41580568340635
925,-13.2039145724796
926,-8.53996411209359
927,-8.69273881504886
928,-10.2216452062202
929,-8.76417821739931
930,-9.61762696319179
931,-7.6253039712714
932,-6.55007922052576
933,-8.00579232262591
934,-7.85030145297652
935,-5.62855152151944
936,-9.78849387478487
937,-12.8977755030835
938,-7.07047054207792
939,-10.6134204859785
940,-5.75166185824966
941,-10.7392681827011
942,-9.03523100312318
943,-12.7032022530452
944,-13.2038295959103
945,-12.2454215661534
946,-10.6918479003499
947,-14.0213378332395
948,-8.21798358292055
949,-12.2000872644149
950,-13.6137158379285
951,-9.5699052454736
952,-5.77914345077113
953,-8.41352864014408
954,-8.95590332569864
955,-11.2873511686353
956,-8.75485620406467
957,-7.76128049691313
958,-9.2109328571964
959,-10.1983101953213
960,-11.0222484967983
961,-12.9024817089465
962,-8.88214282472422
963,-11.6081351154394
964,-9.02795041573258
965,-9.21701264988948
966,-7.52357230830013
967,-11.4680666714727
968,-13.6704596780349
969,-7.70309748641314
970,-11.9405781228938
971,-12.3034801457573
972,-11.9943383800417
973,-10.6539185791388
974,-6.37138874289978
975,-11.1352869328311
976,-10.2458148560467
977,-16.112829870468
978,-8.81404385895343
979,-12.689761982538
980,-15.9093443148059
981,-9.12000343777356
982,-11.3855063558088
983,-9.63842886013851
984,-10.2731201384522
985,-8.32147807230897
986,-7.53440831434172
987,-12.0587482882483
988,-13.6815001288494
989,-9.00536320786234
990,-13.5015733429909
991,-7.1346659177561
992,-7.41324578511266
993,-13.2957522395619
994,-10.8463319148613
995,-8.54924812379375
996,-7.41531964384846
997,-12.2044102257084
998,-9.21437876884216
999,-13.2355372120567
1000,-9.1293403076154
