"idd","avgLL_LN"
716,-9.83314854562794
717,-10.5435992958803
718,-10.3462652835979
719,-6.4494906703777
720,-10.7573795233985
721,-13.2102974562532
722,-11.5446439594884
723,-8.73696486283775
724,-8.0017569759638
725,-10.8919733560199
726,-12.8853278711568
727,-7.12451735254719
728,-11.198813187914
729,-10.6410637652525
730,-9.26475504670838
731,-9.02558104351562
732,-7.50086739246071
733,-9.61035213865974
734,-9.54067343111152
735,-14.3235408271644
736,-10.588107652704
737,-9.47446313829366
738,-9.03549377757155
739,-11.5144402296268
740,-14.2838598999302
741,-13.4298663566387
742,-11.4926851731179
743,-7.65651837469328
744,-12.9809472331148
745,-8.67882537961225
746,-14.4544899398018
747,-8.74473004335298
748,-13.210946081773
749,-11.4237622806398
750,-12.5849846240837
751,-16.0695198182651
752,-9.16658673560301
753,-12.9672298454559
754,-8.67057557453606
755,-9.26656406141353
756,-11.6997224945369
757,-15.9643860935327
758,-6.34555205362189
759,-11.7484957124876
760,-11.9516420849191
761,-15.4273350322604
762,-10.6029612841576
763,-12.5659243280308
764,-10.4900141904995
765,-8.65802860411118
766,-8.90831403044325
767,-11.5778259575346
768,-10.4383193747103
769,-12.7232887721126
770,-8.44405441364435
771,-10.9035590991602
772,-8.76620954753029
773,-11.6895934887774
774,-9.93623473858356
775,-10.1396596808725
776,-9.5083116903034
777,-15.3111925879442
778,-14.4981290458538
779,-7.07455628174345
780,-5.46384682706543
781,-11.2256535896413
782,-10.8361630330347
783,-10.1134198234596
784,-14.2065986098046
785,-6.18218106857872
786,-10.9179013411362
787,-9.7352859071574
788,-11.4929258343241
789,-9.59538224197366
790,-9.66465195850862
791,-9.74876157774343
792,-13.9118997546048
793,-9.16122577694847
794,-10.097255592373
795,-11.0589313626528
796,-7.22190311085474
797,-9.88705018450039
798,-7.61646515856929
799,-14.4769710659654
800,-7.94256542413069
801,-11.5574696364222
802,-12.0545828453107
803,-7.40484016619052
804,-13.6966114970211
805,-12.3170042813169
806,-13.0365860086325
807,-6.04042873580949
808,-9.87006762072778
809,-9.1031623408805
810,-6.93649859238754
811,-9.55220629241414
812,-13.1749950977971
813,-12.4899242739581
814,-10.0779802569718
815,-13.6247635243918
816,-9.75656726417756
817,-10.5301468398462
818,-13.0635220911014
819,-6.88606277462685
820,-12.6698474651827
821,-9.2874633154642
822,-12.2924823964986
823,-12.0476314366565
824,-8.53453626185197
825,-10.9987874750913
826,-14.8973858829718
827,-8.58445265797457
828,-12.4089079501131
829,-14.9786104550067
830,-9.45328323552356
831,-7.88982482037782
832,-9.05817008836164
833,-9.16590516242388
834,-9.9177995474673
835,-13.8893536373318
836,-12.2133412433547
837,-7.03787090161597
838,-12.4931293746414
839,-11.2537098503664
840,-12.2176288434631
841,-9.90359129588002
842,-8.66979601425917
843,-11.3058059730536
844,-10.9629790860213
845,-10.1379981697216
846,-11.7549010484332
847,-9.6483606468697
848,-7.8556552902439
849,-13.4620104021221
850,-8.55015927116955
851,-8.48733453785289
852,-11.7747497532186
853,-13.8645861457567
854,-7.8094201580889
855,-8.57019609684099
856,-12.5165758018796
857,-8.88800329639377
858,-8.27207333176659
859,-10.9028125689292
860,-7.22982506363509
861,-12.0379664433302
862,-10.5049901806092
863,-13.3799636187397
864,-11.6716299087787
865,-13.5425586625073
866,-7.79704394128456
867,-10.9253918188709
868,-11.638446787248
869,-12.3199231994816
870,-15.6325378489679
871,-11.9908669155326
872,-12.017249427295
873,-11.9201896214527
874,-16.8540530020964
875,-8.63374532484235
876,-8.29325893559711
877,-8.77002195526945
878,-16.1598796357382
879,-8.6785968595026
880,-7.58168698159404
881,-11.4361027432088
882,-15.447607234071
883,-12.9908813966545
884,-10.9271998819825
885,-9.00803266048491
886,-8.15282244904522
887,-12.5274081897488
888,-9.8878071415927
889,-13.8273453352929
890,-8.58482205803563
891,-6.00588090445542
892,-11.2394815332707
893,-11.9412681459114
894,-9.17027292510593
895,-7.23547032230498
896,-10.5341304796098
897,-10.9269904579846
898,-10.9634824804891
899,-10.0530541168007
900,-12.2887801581474
901,-8.11228102256861
902,-8.18017312457713
903,-6.88941176414109
904,-6.02013388553589
905,-11.5336080819157
906,-13.0135202107493
907,-10.9789151579059
908,-8.37232278292052
909,-13.0630283854705
910,-12.0579650697605
911,-8.74770032848061
912,-12.7759859606515
913,-7.96806156409277
914,-14.7922469242218
915,-14.1618763035054
916,-10.0566355096704
917,-9.51661191458541
918,-13.1778319506395
919,-11.8722319762969
920,-12.6141296074755
921,-7.01519390482395
922,-12.0735468646756
923,-10.6198301199154
924,-7.30937087961904
925,-13.2661830536783
926,-8.70475124671944
927,-9.44744169196173
928,-10.0193800730937
929,-9.48240926639058
930,-8.77844606715864
931,-7.93848692346194
932,-7.38531444478897
933,-8.46778445253464
934,-8.18729951886273
935,-5.23295403516691
936,-10.4918239946962
937,-13.2543043214762
938,-8.13446427127708
939,-12.3875679297848
940,-10.7352898643148
941,-10.8211112264119
942,-9.60207660168005
943,-12.9215113884507
944,-12.9421078656505
945,-13.2033853694671
946,-11.0029017681509
947,-13.7476962987182
948,-10.3502222175519
949,-12.1146678773638
950,-14.097158905666
951,-9.66259251023292
952,-10.3731558750396
953,-7.09193299709265
954,-8.08092516973449
955,-11.7699337169928
956,-7.82339983469848
957,-7.24050949771774
958,-9.59452277327022
959,-10.6406211879257
960,-10.7424421384104
961,-12.4557244040475
962,-7.57825867155872
963,-11.2447250574336
964,-11.0805038327225
965,-9.18747424233157
966,-8.32383370824025
967,-11.887750722447
968,-12.2986645500147
969,-7.81185790649282
970,-10.8725657949717
971,-12.2643770280074
972,-13.4571367081483
973,-11.3996753514863
974,-7.16848921805414
975,-10.250965390695
976,-11.041853020812
977,-17.2546559968077
978,-11.0709817001343
