"idd","avgLL_NLN"
571,-12.5303838687732
572,-6.23948049347455
573,-8.39728446136796
574,-13.8332617262088
575,-11.6882545630129
576,-5.46392608391889
577,-13.976784409475
578,-10.6114323251847
579,-10.0502836251813
580,-14.8880560313978
581,-8.84631020139206
582,-8.45129247451336
583,-13.1720125856989
584,-11.5776694170883
585,-8.03343178862053
586,-11.0187983153146
587,-8.6475118137423
588,-14.2015976387897
589,-11.3185534459282
590,-13.463647097089
591,-11.8973682103009
592,-9.27534306712807
593,-8.44413198954101
594,-11.3016930806641
595,-13.4529205997165
596,-14.5212335914911
597,-13.6840746811363
598,-13.5509371878493
599,-7.60905023933743
600,-14.7422339543244
601,-10.0350034732889
602,-12.4026572145913
603,-10.6377019990735
604,-8.91291578090189
605,-10.6413176245713
606,-9.99252798456369
607,-11.0518741730376
608,-10.647072553856
609,-9.65444401690131
610,-8.33704599077968
611,-10.7832568635948
612,-6.04144072979259
613,-12.3369408905573
614,-8.84538269466412
615,-8.62805931274778
616,-6.34159156348409
617,-6.15028992688793
618,-10.4293921190028
619,-9.30188589573161
620,-9.87437945404765
621,-8.36933419172142
622,-8.4922088938901
623,-9.19383787466136
624,-13.2071916199208
625,-9.15719920819337
626,-9.68844506437945
627,-9.00023137124678
628,-8.27429810026125
629,-10.429113710257
630,-11.7511253265692
631,-9.77650093717565
632,-13.6663621221919
633,-12.7988390270582
634,-5.10499716243225
635,-10.3448270027854
636,-8.45468509913298
637,-7.54419132658935
638,-12.7860618033779
639,-9.92047952831308
640,-11.3510017915839
641,-10.5882381416848
642,-8.93717359551021
643,-12.809442042456
644,-10.6030022110254
645,-11.8965785097196
646,-9.02730307260169
647,-5.90863235427541
648,-11.2085800494021
649,-13.3418789050661
650,-14.2104153859645
651,-8.02068967731286
652,-6.873410453091
653,-14.7937219533718
654,-10.4539924794985
655,-8.62469712043041
656,-8.90257876765953
657,-12.6678378085266
658,-12.4915607052594
659,-11.5325192824276
660,-11.5055866708809
661,-9.2982453870926
662,-10.3072570944987
663,-10.3542799936853
664,-10.6806493050514
665,-9.00470914555995
666,-6.68478253257353
667,-6.96529796696487
668,-7.52475409436931
669,-13.9267801132733
670,-5.51241284713444
671,-13.9252520922177
672,-10.9245081839763
673,-10.8104562202403
674,-8.92028671193319
675,-10.6944066199267
676,-8.24852160145264
677,-10.9663967946813
678,-13.6192190320941
679,-6.02143574727421
680,-12.4044289633959
681,-12.9230350829383
682,-7.36478699894464
683,-10.0595570112444
684,-10.8847571650555
685,-7.10052642281084
686,-11.3561081587146
687,-10.1571388452334
688,-12.8252726190407
689,-9.89595764264337
690,-8.23366238055565
691,-7.82516502479543
692,-12.0399856642076
693,-12.5181458952632
694,-9.97017296130996
695,-8.612920640884
696,-12.1291958097791
697,-12.431101344933
698,-6.85466959480961
699,-11.5972151245703
700,-13.2524412960235
701,-6.42129173834441
702,-11.1137247354615
703,-12.9304255735446
704,-8.63042365034308
705,-12.8882921512188
706,-10.0573466311976
707,-10.9978791152202
708,-12.0677925332862
709,-10.8044960945292
710,-11.64298019679
711,-10.7613624716311
712,-14.0986626967828
713,-7.88364471596551
714,-10.8835401588746
715,-12.6191118545098
716,-8.77338821377461
717,-10.9980263555047
718,-10.1615703776705
719,-6.87926065330325
720,-11.0531712842766
721,-12.8537770460738
722,-11.0172299135901
723,-8.66218845448834
724,-6.83790765770222
725,-10.7435597137825
726,-13.1005178974611
727,-7.24476474381779
728,-10.5805615085583
729,-10.6124689760869
730,-9.33296191888803
731,-9.41504529123111
732,-7.36241122433329
733,-9.07419174143596
734,-9.07510775337824
735,-14.4153115990053
736,-10.623229940893
737,-8.78539705866896
738,-9.95639747112042
739,-11.5721746893185
740,-13.5111027228456
741,-13.8183406546397
742,-10.9091342024996
743,-8.43013723754273
744,-12.5651225659869
745,-7.06775406907066
746,-13.874783826184
747,-7.09203207186177
748,-13.5425045580851
749,-12.0193865791535
750,-11.3485431271093
751,-16.5198747054203
752,-9.80913704378341
753,-12.4455761665358
754,-7.1828118669802
755,-8.8517990395911
756,-12.6127735907962
757,-15.6040283557738
758,-7.26144738536546
759,-12.4047589605697
760,-12.0872581276442
761,-15.7490800350108
762,-9.54118997595358
763,-12.2303455491194
764,-12.1753246290598
765,-8.56731860069787
766,-10.4351418060522
767,-9.01842668189862
768,-10.8262724786467
769,-13.4546076568009
770,-8.82152334961867
771,-10.9539480371791
772,-8.2273981845996
773,-11.9412659882889
774,-8.69543209440323
775,-10.3951558808697
776,-7.58192189404195
