"idd","avgLL_AT"
639,-10.2247548658149
640,-11.4590551132171
641,-10.5358016279909
642,-8.99025362551247
643,-12.831165076596
644,-11.1849136276387
645,-11.5506038406485
646,-8.83555613890756
647,-5.75638522393577
648,-10.9105186481946
649,-13.2045015682116
650,-13.8242031998002
651,-8.3808851163799
652,-7.00425241430873
653,-14.7025608255235
654,-10.5109180811302
655,-8.79596260144232
656,-8.93379464177642
657,-12.147128093391
658,-12.6113782386437
659,-11.5386857126853
660,-11.4950921886949
661,-9.39913961896852
662,-10.3161266387561
663,-10.0642017602335
664,-10.7392174401933
665,-9.01918309046837
666,-6.52423485415119
667,-6.39957032816962
668,-7.53348668078569
669,-14.04931945346
670,-5.67293183981536
671,-14.0038388434393
672,-11.3570027521548
673,-10.8743129230225
674,-8.79541065925482
675,-10.8731585382116
676,-7.96126655186053
677,-10.8497801151457
678,-13.481960340459
679,-5.79755759230973
680,-12.5021102757071
681,-13.0155375063421
682,-7.35466806501788
683,-9.70533745358159
684,-11.0024960955083
685,-7.02013583727103
686,-11.3274710585844
687,-10.1537971923123
688,-13.1124532653902
689,-9.66166712144829
690,-7.92779088260549
691,-7.97202543435356
692,-12.1577833446671
693,-12.6990172345608
694,-10.1952246972818
695,-8.54073155808353
696,-12.2747875735569
697,-12.3039565547223
698,-6.74327838970364
699,-11.8760576936955
700,-12.2774107108926
701,-6.33889361211242
702,-11.3991000541161
703,-12.5485343425506
704,-8.56469454062993
705,-12.9955470021422
706,-9.84724016871925
707,-11.1694813943162
708,-11.9168881907192
709,-10.9687472629148
710,-11.5643891800073
711,-11.2243747619071
712,-13.9201654453253
713,-8.14056433149439
714,-11.0835959892143
715,-12.4136678920561
716,-8.76475854381483
717,-10.8342547307509
718,-10.1969578603239
719,-7.16478156627373
720,-11.0002388250341
721,-12.9302896165025
722,-11.0862314794158
723,-8.91732985412104
724,-7.00060573348579
725,-10.7628722923265
726,-12.8659718800367
727,-7.13285932162438
728,-10.6442053098154
729,-10.4691896015969
730,-9.3587239410171
731,-9.40549590943611
732,-7.45772315967247
733,-8.80521393041138
734,-9.18853610633163
735,-14.0100404743498
736,-10.6890000431012
737,-8.97995134935297
738,-10.5604073089617
739,-11.570207314518
740,-13.2509226769356
741,-13.7101139300935
742,-10.9998792336819
743,-8.34690028640337
744,-12.6086941399113
745,-7.53901418803676
746,-14.0366350804732
747,-7.0130239752551
748,-13.412004818537
749,-12.3925342126977
750,-11.3904772247946
751,-16.2510672251045
752,-9.81161929079394
753,-12.333923528644
754,-6.99775179406435
755,-8.72376568784677
756,-12.3619810429717
757,-15.5642305216333
758,-7.5580525750359
759,-12.0821530067418
760,-12.1078460892432
761,-15.852320197785
762,-9.51063755370288
763,-12.3740209483323
764,-12.3122974033596
765,-8.34189659249877
766,-10.3047013978797
767,-8.81535862955067
768,-11.0483894548779
769,-13.2120532103426
770,-8.96277193875363
771,-10.7337045791933
772,-8.21384655336397
773,-12.152994946108
774,-9.04146368223251
775,-10.2800124920241
776,-7.61003416634161
777,-15.3557348430139
778,-14.6569386590624
779,-7.42195005476675
780,-6.03292589204446
781,-12.3769106510897
782,-10.4319382706047
783,-9.67554155720044
784,-14.8615405443924
785,-6.34777013987766
